Nombre;Código de Ley;Código de ley en tu lenguaje;Fecha de Promulgación
18441;ley18441.xml;http://www.impo.com.uy/lenguaje_ciudadano_tu_trabajo_rurales.html;24/12/2008
18331;ley18331.xml;;11/08/2008
18241;ley18241.xml;;27/12/2007
18227;ley18227.xml;;22/12/2007
